walletAddress,approvedAddress,approvalAmount
0xf6da21E95D74767009acCB145b96897aC3630BaD,0xD78A3280085Ee846196cB5fab7D510B279486d44,115792089237316195423570985008687907853269984665640563760610080484393304658691
0x9a80A6F84c45BE2C023670141FdD0b9C715011b6,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564013713584007913129639935
0x7483E8B11E5bf9583F2629b4d1e10035748930e4,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x762F11992dA495AdC8C5e2772F240Fda54808831,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x9a80A6F84c45BE2C023670141FdD0b9C715011b6,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640563999283513536619215323593
0x756e68F85226E17c2aD9A36F5f3c81f88A01B20D,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xBbc798324EEC9D1cBBf6805BF81b828aCcF80e29,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xf3453f0a63f72BEE573449d446895C805920A4b1,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x1bbB53688c22b08f4C1dEEdE191f9D7D0aB9f4Fb,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564025451805372930518626528
0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564034127826976309911266470
0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564029127826976309911266470
0xD10c261fB157512755aD44f0703f19A9dB9BAD6c,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564028863023369453615194547
0xBbc798324EEC9D1cBBf6805BF81b828aCcF80e29,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564037326201825466765720625
0xc4cC364706Fe781FB00a47BaDb297Af36A482Cc1,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xEF3FDc051BAC5CcB7aA1De3a0C2B3a463cb6c677,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x2b1C5883E26E6CcfFC5a4F1c1D51C450dBf758f6,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564014457584007913129639935
0xEbC7e58735280478eadb480F7584c79ab955b094,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564034910075171645330422605
0xc4cC364706Fe781FB00a47BaDb297Af36A482Cc1,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564036423496409005538527953
0x079A13288f70B52D927A345C004376c500414121,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x2813b91Aa690c909EEAC89d49Dbe06d708e2a890,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0xd2B41B2209de76ed2B6224e9204248d055ee20c8,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x2b1C5883E26E6CcfFC5a4F1c1D51C450dBf758f6,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,115792089237316195423570985008687907853269984665640563992773382017143287610616
